,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
1699,fansho,ɸ a˥ n s h oː˥,ɸ/˥nsh/ː˥,2,9,2.3333333333333335
1700,fante,ɸ a˥ n t e˥,ɸ/˥nt/˥,2,7,1.6666666666666667
1701,fanti,ɸ a˥ n t iː˩,ɸ/˥nt/ː˩,2,8,2
1702,fantin,ɸ a˥ n t ɪ˥ ŋ,ɸ/˥nt/˥ŋ,2,8,2
1703,fara,ɸ ə˥ r aː˩,ɸ/˥r/ː˩,2,7,1.6666666666666667
1704,fara'a,ɸ ə˥ r ə˥ ʔ aː˩,ɸ/˥r/˥ʔ/ː˩,3,10,1.75
1705,farali,ɸ ə˥ r ə˩ l iː˥,ɸ/˥r/˩l/ː˥,3,10,1.75
1706,faransa,ɸ ə˩ r a˥ n s ə˩,ɸ/˩r/˥ns/˩,3,10,1.75
1707,faransanci,ɸ ə˥ r a˥ n s a˥ n tʃ iː˥,ɸ/˥r/˥ns/˥ntʃ/ː˥,4,16,2.4
1708,faranta,ɸ ə˥ r a˥ n t aː˩,ɸ/˥r/˥nt/ː˩,3,11,2
1709,farantawa,ɸ ə˥ r a˥ n t aː˥ w aː˥,ɸ/˥r/˥nt/ː˥w/ː˥,4,15,2.2
1710,farantin,ɸ ə˥ r a˥ n t ɪ˥ ŋ,ɸ/˥r/˥nt/˥ŋ,3,11,2
1711,farar,ɸ ə˥ r a˩ r,ɸ/˥r/˩r,2,7,1.6666666666666667
1712,fararen,ɸ ə˥ r ə˩ ɽ eː˥ ŋ,ɸ/˥r/˩ɽ/ː˥ŋ,3,11,2
1713,fararren,ɸ aː˥ ɽ a˥ r eː˩ ŋ,ɸ/ː˥ɽ/˥r/ː˩ŋ,3,12,2.25
1714,farashi,ɸ ə˥ r aː˥ ʃ iː˩,ɸ/˥r/ː˥ʃ/ː˩,3,11,2
1715,farashin,ɸ ə˥ r ə˩ ʃ ɪ˥˦ ŋ,ɸ/˥r/˩ʃ/˥˦ŋ,3,11,2
1716,farashinsu,ɸ ə˥ r aː˥ ʃ iː˩ n s ɪ˩,ɸ/˥r/ː˥ʃ/ː˩ns/˩,4,15,2.2
1717,farata,ɸ ə˥ r aː˥ t aː˩,ɸ/˥r/ː˥t/ː˩,3,11,2
1718,farauta,ɸ ə˩ r aw˥ t aː˩,ɸ/˩r/w˥t/ː˩,3,11,2
1719,farawa,ɸ ə˥ r aː˥ w aː˥,ɸ/˥r/ː˥w/ː˥,3,11,2
1720,farazanci,ɸ ə˥ r ə˩ z a˥ n tʃ iː˥,ɸ/˥r/˩z/˥ntʃ/ː˥,4,15,2.2
1721,farce,ɸ a˥ ɽ tʃ eː˩,ɸ/˥ɽtʃ/ː˩,2,9,2.3333333333333335
1722,fare,ɸ aː˥ ɽ eː˩,ɸ/ː˥ɽ/ː˩,2,8,2
1723,faredi,ɸ aː˥ ɽ eː˥ d iː˩,ɸ/ː˥ɽ/ː˥d/ː˩,3,12,2.25
1724,farfado,ɸ ə˩ r ɸ ə˥ d o˥,ɸ/˩rɸ/˥d/˥,3,10,1.75
1725,farfadowa,ɸ ə˩ r ɸ ə˥ d oː˥ w aː˩,ɸ/˩rɸ/˥d/ː˥w/ː˩,4,15,2.2
1726,farfaganda,ɸ ə˩ r ɸ ə˥ ɡ a˥ n d ə˩,ɸ/˩rɸ/˥ɡ/˥nd/˩,4,14,2
1727,farfajiya,ɸ ə˩ r ɸ aː˥ dʒ ɪ˩ j aː˥,ɸ/˩rɸ/ː˥dʒ/˩j/ː˥,4,16,2.4
1728,farfajiyar,ɸ ə˩ r ɸ aː˥ dʒ ɪ˩ j ɛ˥ r,ɸ/˩rɸ/ː˥dʒ/˩j/˥r,4,16,2.4
1729,farfesa,ɸ ə˩ r ɸ ɛ˥ s aː˥,ɸ/˩rɸ/˥s/ː˥,3,11,2
1730,farfesan,ɸ ə˩ r ɸ ɛ˥ s a˩ ŋ,ɸ/˩rɸ/˥s/˩ŋ,3,11,2
1731,farfesun,ɸ ə˩ r ɸ ɛ˥ s ɪ˩ ŋ,ɸ/˩rɸ/˥s/˩ŋ,3,11,2
1732,fargabar,ɸ ə˩ r ɡ ə˥ b a˩ r,ɸ/˩rɡ/˥b/˩r,3,11,2
1733,fari,ɸ aː˥ ɽ ɪ˩,ɸ/ː˥ɽ/˩,2,7,1.6666666666666667
1734,fari,ɸ ə˥ ɽ iː˥,ɸ/˥ɽ/ː˥,2,7,1.6666666666666667
1735,farilla,ɸ ə˩ r ɪ˥ l aː˩,ɸ/˩r/˥l/ː˩,3,10,1.75
1736,farin,ɸ ə˩ r ɪ˥ ŋ,ɸ/˩r/˥ŋ,2,7,1.6666666666666667
1737,farinciki,ɸ aː˥ r ɪ˥ n tʃ ɪ˩ c iː˥,ɸ/ː˥r/˥ntʃ/˩c/ː˥,4,16,2.4
1738,farisa,ɸ aː˥ r ɪ˥ s ə˩,ɸ/ː˥r/˥s/˩,3,10,1.75
1739,farisanci,ɸ aː˥ r ɪ˥ s a˥ n tʃ iː˥,ɸ/ː˥r/˥s/˥ntʃ/ː˥,4,16,2.4
1740,farka,ɸ a˥ r k aː˩,ɸ/˥rk/ː˩,2,8,2
1741,farkar,ɸ a˥ r k a˩ r,ɸ/˥rk/˩r,2,8,2
1742,farke,ɸ aː˥ ɽ c eː˥,ɸ/ː˥ɽc/ː˥,2,9,2.3333333333333335
1743,farko,ɸ a˩ r kʷ oː˩,ɸ/˩rkʷ/ː˩,2,9,2.3333333333333335
1744,farkon,ɸ a˩ r kʷ oː˩ ŋ,ɸ/˩rkʷ/ː˩ŋ,2,10,2.6666666666666665
1745,farmaki,ɸ a˥ r m aː˩ c iː˥,ɸ/˥rm/ː˩c/ː˥,3,12,2.25
1746,faro,ɸ ə˥ r o˩,ɸ/˥r/˩,2,6,1.3333333333333333
1747,farshin,ɸ a˥ ɽ ʃ ɪ˥ ŋ,ɸ/˥ɽʃ/˥ŋ,2,8,2
1748,fartanya,ɸ a˥ r t ɛ˥ ɲ j aː˩,ɸ/˥rt/˥ɲj/ː˩,3,12,2.25
1749,faru,ɸ ə˩ r uː˥,ɸ/˩r/ː˥,2,7,1.6666666666666667
1750,faruku,ɸ aː˩ r ɪ˥ kʷ ʊ˩,ɸ/ː˩r/˥kʷ/˩,3,11,2
1751,faruwa,ɸ a˥ ɽ ʊ˥ w aː˥,ɸ/˥ɽ/˥w/ː˥,3,10,1.75
1752,faruwane,ɸ a˥ ɽ ʊ˥ w a˩ n e˥,ɸ/˥ɽ/˥w/˩n/˥,4,12,1.6
1753,faruƙu,ɸ aː˩ r ɪ˥ kʷʼ ʊ˩,ɸ/ː˩r/˥kʷʼ/˩,3,12,2.25
1754,fasa,ɸ aː˥ s aː˩,ɸ/ː˥s/ː˩,2,8,2
1755,fasa'ofis,ɸ ə˥ s ə˩ ʔ oː˥ ɸ ɪ˩ s,ɸ/˥s/˩ʔ/ː˥ɸ/˩s,4,14,2
1756,fasaha,ɸ ə˥ s ə˩ h aː˥,ɸ/˥s/˩h/ː˥,3,10,1.75
1757,fasahar,ɸ ə˥ s ə˩ h a˩ r,ɸ/˥s/˩h/˩r,3,10,1.75
1758,fasaharsu,ɸ ə˥ s ə˩ h a˥ ɽ uː˥,ɸ/˥s/˩h/˥ɽ/ː˥,4,13,1.8
1759,fasahohi,ɸ ə˥ s ə˩ h oː˥ h iː˩,ɸ/˥s/˩h/ː˥h/ː˩,4,14,2
1760,fasahohin,ɸ ə˥ s ə˩ h oː˥ h ɪ˥ ŋ,ɸ/˥s/˩h/ː˥h/˥ŋ,4,14,2
1761,fasali,ɸ ə˥ s ə˩ l iː˥,ɸ/˥s/˩l/ː˥,3,10,1.75
1762,fasalin,ɸ ə˥ s ə˩ l ɪ˩ ŋ,ɸ/˥s/˩l/˩ŋ,3,10,1.75
1763,fasassun,ɸ aː˥ s aː˥ s ɪ˩ ŋ,ɸ/ː˥s/ː˥s/˩ŋ,3,12,2.25
