,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
8358,knee,ɲ iː,ɲ/ː,1,3,1
8359,kneel,ɲ iː ɫ,ɲ/ːɫ,1,4,1.5
8360,knees,ɲ iː z,ɲ/ːz,1,4,1.5
8361,knelt,n ɛ ɫ t,n/ɫt,1,4,1.5
8362,knew,ɲ uː,ɲ/ː,1,3,1
8363,knife,n aj f,n/jf,1,4,1.5
8364,knights,n aj t s,n/jts,1,5,2
8365,knives,n aj v z,n/jvz,1,5,2
8366,knob,n ɔ b,n/b,1,3,1
8367,knock,n ɔ k,n/k,1,3,1
8368,knocked,n ɔ k t,n/kt,1,4,1.5
8369,knocking,n ɔ c i ŋ,n/c/ŋ,2,5,1
8370,knocking,n ɔ c i ŋ ɡ,n/c/ŋɡ,2,6,1.3333333333333333
8371,knot,n ɔ t,n/t,1,3,1
8372,know,n o,n/,1,2,1
8373,knowing,n o i ŋ,n/ŋ,1,4,1
8374,knowing,n o i ŋ ɡ,n/ŋɡ,1,5,1.5
8375,knowledge,n ɔ ʎ i dʒ,n/ʎ/dʒ,2,6,1.3333333333333333
8376,knowledgeable,n a ʎ i dʒ a b ʊ ɫ,n/ʎ/dʒ/b/ɫ,4,10,1.2
8377,known,n o n,n/n,1,3,1
8378,knows,n o z,n/z,1,3,1
8379,ko,kʰ o,kʰ/,1,3,2
8380,kobo,kʰ ɔ b o,kʰ/b/,2,5,1.5
8381,koch,kʰ o k,kʰ/k,1,4,1.5
8382,kodjo,kʰ ɔ dʒ o,kʰ/dʒ/,2,6,2
8383,kofi,kʰ ɔ fʲ i,kʰ/fʲ/,2,6,2
8384,kogi,kʰ ɔ ɟ i,kʰ/ɟ/,2,5,1.5
8385,koi,kʰ ɔj,kʰ/j,1,4,1.5
8386,koina,kʰ ɔj n a,kʰ/jn/,2,6,2
8387,kola,kʰ o l a,kʰ/l/,2,5,1.5
8388,kolkata,kʰ ɔ ɫ kʰ a t a,kʰ/ɫkʰ/t/,3,9,2
8389,kondo,kʰ ɔ n d o,kʰ/nd/,2,6,2
8390,kong,kʰ ɔ ŋ ɡ,kʰ/ŋɡ,1,5,2
8391,koran,kʰ ɔ ɹ a n,kʰ/ɹ/n,2,6,1.3333333333333333
8392,korea,kʰ ɔ ɹ iː a,kʰ/ɹ/ː/,3,7,1.3333333333333333
8393,korean,kʰ ɔ ɹ i a n,kʰ/ɹ/n,2,7,1.3333333333333333
8394,kpa,kp a,kp/,1,3,2
8395,kpe,kp e,kp/,1,3,2
8396,kpera,kp ɛ ɹ a,kp/ɹ/,2,5,1.5
8397,kpodo,kp ɔ d o,kp/d/,2,5,1.5
8398,kpon,kp ɔ n,kp/n,1,4,1.5
8399,ku,kʰ uː,kʰ/ː,1,4,1.5
8400,kubi,kʰ uː bʲ i,kʰ/ːbʲ/,2,7,2.5
8401,kudos,cʰ uː d ɔ s,cʰ/ːd/s,2,7,1.6666666666666667
8402,kuka,kʰ uː k a,kʰ/ːk/,2,6,2
8403,kuli-kuli,kʰ ʊ ʎ i kʰ ʊ ʎ i,kʰ/ʎ/kʰ/ʎ/,4,10,1.5
8404,kunder,kʰ uː n d a,kʰ/ːnd/,2,7,2.5
8405,kurt,kʰ aː t,kʰ/ːt,1,5,2
8406,kuti,kʰ uː tʰ i,kʰ/ːtʰ/,2,7,2.5
8407,kuwait,cʰ uː w e t,cʰ/ːw/t,2,7,1.6666666666666667
8408,kwara,kʷ a ɹ a,kʷ/ɹ/,2,5,1.5
8409,l,ɛ ɫ,/ɫ,1,2,1
8410,la,l a,l/,1,2,1
8411,laali,l aː ʎ i,l/ːʎ/,2,5,1.5
8412,lab,l a b,l/b,1,3,1
8413,label,l e b ɛ ɫ,l/b/ɫ,2,5,1
8414,labeled,l e b ɛ ɫ d,l/b/ɫd,2,6,1.3333333333333333
8415,labels,l e b ɛ ɫ z,l/b/ɫz,2,6,1.3333333333333333
8416,labor,l e b ɔ,l/b/,2,4,1
8417,laboratories,l a b ɔ ɹ a tʰ ɔ ɹ i z,l/b/ɹ/tʰ/ɹ/z,5,12,1.1666666666666667
8418,laboratory,l a b ɔ ɹ a t ɔ ɹ iː,l/b/ɹ/t/ɹ/ː,5,11,1
8419,labour,l e b ɔ,l/b/,2,4,1
8420,labouring,l e b ɔ ɹ i ŋ ɡ,l/b/ɹ/ŋɡ,3,8,1.25
8421,lack,l a k,l/k,1,3,1
8422,lackadaisical,l a k a d e z i k a ɫ,l/k/d/z/k/ɫ,5,11,1
8423,lacked,l a k t,l/kt,1,4,1.5
8424,lacking,l a c i ŋ ɡ,l/c/ŋɡ,2,6,1.3333333333333333
8425,lacks,l a k s,l/ks,1,4,1.5
8426,ladder,l a d a,l/d/,2,4,1
8427,ladies,l e dʲ i s,l/dʲ/s,2,6,1.3333333333333333
8428,ladies,l e dʲ i z,l/dʲ/z,2,6,1.3333333333333333
8429,ladin,l a dʲ iː n,l/dʲ/ːn,2,7,1.6666666666666667
8430,ladoja,l a d ɔ dʒ a,l/d/dʒ/,3,7,1.3333333333333333
8431,lady,l e dʲ i,l/dʲ/,2,5,1.5
8432,lagelu,l a ɡ ɛ l uː,l/ɡ/l/ː,3,7,1
8433,lager,l a ɡ a,l/ɡ/,2,4,1
8434,lagoon,l a ɡ uː n,l/ɡ/ːn,2,6,1.3333333333333333
8435,lagos,l e ɡ ɔ s,l/ɡ/s,2,5,1
8436,lagotians,l a ɡ o ʃ a n z,l/ɡ/ʃ/nz,3,8,1.25
8437,laid,l e d,l/d,1,3,1
8438,laissez-faire,l e z e f ɛː,l/z/f/ː,3,7,1
8439,lake,l e k,l/k,1,3,1
8440,lalaina,l a l aj n a,l/l/jn/,3,7,1.3333333333333333
8441,lalawele,l a l a w ɛ l e,l/l/w/l/,4,8,1
8442,lamented,l a m ɛ n t ɛ d,l/m/nt/d,3,8,1.25
8443,lamidi,l a mʲ i dʲ i,l/mʲ/dʲ/,3,8,1.6666666666666667
8444,lamode,l a m ɔ d e,l/m/d/,3,6,1
8445,lamp,l a m p,l/mp,1,4,1.5
8446,lancashire,l a ŋ k a ʃ a,l/ŋk/ʃ/,3,7,1.3333333333333333
8447,lancashire,l a ŋ k a ʃ i a,l/ŋk/ʃ/,3,8,1.3333333333333333
8448,lancaster,l a ŋ k a s t a,l/ŋk/st/,3,8,1.6666666666666667
8449,land,l a n,l/n,1,3,1
8450,land,l a n d,l/nd,1,4,1.5
8451,landed,l a n d ɛ d,l/nd/d,2,6,1.3333333333333333
8452,landing,l a ɲ dʲ i ŋ ɡ,l/ɲdʲ/ŋɡ,2,8,2
8453,landlord,l a n d l ɔ d,l/ndl/d,2,7,1.6666666666666667
8454,landmark,l a n d m a k,l/ndm/k,2,7,1.6666666666666667
8455,landmark,l a n m a k,l/nm/k,2,6,1.3333333333333333
8456,landmarks,l a n d m a k s,l/ndm/ks,2,8,2
8457,lands,l a n d z,l/ndz,1,5,2
8458,landscape,l a n d s c e p,l/ndsc/p,2,8,2
8459,lane,l e n,l/n,1,3,1
8460,lanes,l e n z,l/nz,1,4,1.5
8461,lang,l a ŋ ɡ,l/ŋɡ,1,4,1.5
