,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
202,aiana,ɑ i ɑ n ɑ,/n/,2,5,1
203,aibu,ɑ i ɓ u,/ɓ/,2,4,1
204,aidha,ɑ i ð ɑ,/ð/,2,4,1
205,aidhaa,ɑ i ð ɑː,/ð/ː,2,5,1
206,aidhinishe,ɑ i ð i n i ʃ ɛ,/ð/n/ʃ/,4,8,1
207,aifa,ɑ i f ɑ,/f/,2,4,1
208,aifute,ɑ i f u t ɛ,/f/t/,3,6,1
209,aigus,ɑ i ɠ u s,/ɠ/s,2,5,1
210,ailaze,ɑ i l ɑ z ɛ,/l/z/,3,6,1
211,ailikuwa,ɑ i l i k u w ɑ,/l/k/w/,4,8,1
212,ailiyokufa,ɑ i l i j ɔ k u f ɑ,/l/j/k/f/,5,10,1
213,ailo,ɑ i l ɔ,/l/,2,4,1
214,aina,ɑ i n ɑ,/n/,2,4,1
215,ainambalimbali,ɑ i n ɑ m b ɑ l i m b ɑ l i,/n/mb/l/mb/l/,6,14,1.4
216,aingie,ɑ i ŋ ɡ i ɛ,/ŋɡ/,2,6,2
217,aipate,ɑ i p ɑ t ɛ,/p/t/,3,6,1
218,air,ɑ i ɾ,/ɾ,1,3,1
219,aires,ɑ i ɾ ɛ s,/ɾ/s,2,5,1
220,airport,ɑ i ɾ p ɔ ɾ t,/ɾp/ɾt,2,7,2
221,airwana,ɑ i ɾ w ɑ n ɑ,/ɾw/n/,3,7,1.5
222,ais,ɑ i s,/s,1,3,1
223,aisee,ɑ i s i,/s/,2,4,1
224,aisema,ɑ i s ɛ m ɑ,/s/m/,3,6,1
225,aishi,ɑ i ʃ i,/ʃ/,2,4,1
226,aishiye,ɑ i ʃ i j ɛ,/ʃ/j/,3,6,1
227,aisifiyae,ɑ i s i f i j ɑ ɛ,/s/f/j/,4,9,1
228,aisikrimu,ɑ i s i k ɾ i m u,/s/kɾ/m/,4,9,1.3333333333333333
229,aitamani,ɑ i t ɑ m ɑ n i,/t/m/n/,4,8,1
230,aitoshi,ɑ i t ɔ ʃ i,/t/ʃ/,3,6,1
231,aitulize,ɑ i t u l i z ɛ,/t/l/z/,4,8,1
232,aitwa,ɑ i t w ɑ,/tw/,2,5,2
233,aitwae,ɑ i t w ɑ ɛ,/tw/,2,6,2
234,aitwaye,ɑ i t w ɑ j ɛ,/tw/j/,3,7,1.5
